KT3D ESTIMATES WITH:  Irregular Spaced 29 primary and secondary data            
    2.552    35.320
    2.727    38.313
    3.161    40.381
    3.525    41.564
    3.534    42.033
    4.062    42.746
    4.257    43.230
    1.595    47.698
    1.683    47.215
    1.888    46.368
    2.227    45.002
    2.645    43.267
    3.173    40.954
    3.887    37.892
    4.689    34.740
    6.168    32.018
    6.809    31.055
    7.432    32.915
   10.523    37.872
   10.890    41.266
    9.072    40.236
    7.669    38.634
    4.560    36.246
    3.039    34.711
   -0.141    34.192
   -0.401    32.685
    0.594    30.294
    1.139    27.255
    1.730    23.941
    2.560    22.514
    3.891    26.150
    4.661    31.442
    4.624    35.691
    4.325    38.677
    3.660    40.090
    2.320    40.207
    1.226    38.864
    0.633    36.093
    0.307    31.685
    0.504    25.417
    1.980     0.000
    4.821    22.405
    7.495    27.124
    8.493    28.488
    8.318    28.872
    7.385    27.452
    4.743    22.037
    2.510     0.000
    2.042    24.662
    2.689    30.558
    3.040    35.305
    3.482    38.980
    4.165    41.562
    4.589    43.366
    4.861    44.511
    5.352    45.516
    5.671    46.075
    1.695    47.609
    1.776    47.354
    1.964    46.805
    2.266    45.852
    2.635    44.583
    3.098    42.822
    3.676    40.543
    4.793    38.161
    5.361    36.350
    5.896    35.506
    8.590    37.267
    8.703    38.567
    9.908    41.470
    9.557    40.587
    7.931    38.177
    5.386    34.405
    3.673    31.307
    0.471    29.658
   -0.089    28.909
    0.762    27.664
    1.597    25.664
    2.237    24.118
    3.623    24.970
    5.018    28.949
    5.814    33.903
    5.427    37.160
    5.039    39.695
    3.668    40.262
    2.199    40.028
    1.299    38.718
    0.603    35.616
    0.397    31.507
    0.556    26.643
    1.372    22.821
    2.869    22.236
    5.837    22.545
    5.260     0.000
    7.361    24.656
    7.326    26.872
    6.612    25.640
    4.301    23.367
    3.349    26.875
    3.849    31.999
    4.001    36.531
    4.036    40.060
    4.692    42.748
    5.263    44.958
    5.551    46.432
    5.957    47.189
    6.155    47.631
    1.474    47.803
    1.844    47.261
    1.990    47.004
    2.220    46.490
    2.529    45.647
    2.902    44.452
    3.378    42.795
    4.375    41.095
    4.796    39.876
    6.562    39.395
    8.136    40.455
    8.227    40.864
   10.808    43.475
   10.189    42.288
    8.454    38.228
    6.427    33.044
    4.868    27.837
    1.352    24.007
    1.162    24.530
    1.366    24.894
    2.173    23.339
    2.760    21.987
    4.290    24.945
    5.881    30.821
    6.738    36.373
    6.276    39.217
    5.930    41.358
    4.437    40.836
    2.776    39.826
    1.455    38.457
    0.949    35.828
    0.549    32.278
    0.639    29.013
    1.182    26.611
    2.436    24.987
    5.389    24.205
    6.722    23.973
    7.207    25.793
    7.501    27.784
    7.266    28.337
    4.999    27.627
    3.926    30.566
    4.153    34.302
    4.239    38.034
    4.084    41.216
    4.765    43.591
    5.375    45.769
    5.674    47.382
    6.059    48.049
    6.342    48.481
    1.514    47.654
    1.513    47.719
    1.916    47.213
    2.077    47.030
    2.315    46.556
    2.605    45.811
    3.096    44.934
    3.661    43.634
    3.675    42.801
    5.446    41.853
    6.877    41.946
    7.790    42.219
    9.481    43.535
    9.272    41.966
    7.849    37.665
    6.306    32.157
    4.899    25.578
    1.360     0.000
    1.302    22.369
    1.558    23.877
    2.342    22.000
    2.840     0.000
    4.673    24.617
    6.215    31.788
    6.841    37.363
    6.383    39.892
    6.297    41.859
    4.864    40.883
    3.432    39.512
    2.041    37.628
    1.690    35.044
    1.277    32.237
    1.146    29.700
    1.944    27.939
    2.929    27.005
    4.050    26.225
    5.218    25.769
    5.730    26.043
    5.741    26.795
    5.813    28.068
    5.342    30.044
    4.484    33.142
    4.359    36.340
    4.439    39.596
    4.095    42.474
    4.723    44.399
    5.067    45.939
    5.531    47.952
    5.843    48.437
    6.225    48.776
    0.922    47.993
    0.756    48.278
    1.507    47.800
    0.680    48.671
    0.616    49.054
    0.646    49.196
    0.264    47.807
    1.445    46.393
    2.182    45.358
    3.525    44.082
    4.427    43.324
    5.415    42.727
    7.374    42.768
    7.435    41.079
    6.765    37.724
    6.422    33.691
    5.246    28.344
    2.154    24.203
    1.699    24.989
    2.133    25.819
    2.553    24.868
    3.229    24.125
    4.796    27.775
    6.068    33.437
    6.631    37.977
    6.272    39.942
    6.383    41.434
    5.251    40.457
    4.094    38.831
    3.076    36.445
    2.602    33.275
    2.142    30.130
    2.027    28.044
    2.649    27.351
    3.269    27.823
    4.413    27.615
    5.634    26.969
    6.337    26.264
    6.291    26.206
    6.553    27.871
    5.939    30.755
    4.905    34.554
    4.549    38.187
    4.291    41.146
    3.770    43.900
    3.856    45.529
    3.819    47.166
    4.209    49.054
    4.292    49.365
    4.468    49.308
    0.922    47.993
    0.709    48.367
    0.556    48.683
    0.254    49.482
    0.114    50.057
    0.164    50.371
   -0.379    49.024
    0.255    48.377
    0.602    47.784
    1.581    46.037
    2.644    44.906
    3.670    43.790
    4.163    42.515
    4.576    40.745
    4.143    38.133
    4.597    35.276
    3.019    31.946
    2.547    30.012
    2.511    29.696
    2.681    29.844
    2.388    29.767
    2.697    30.084
    3.921    31.926
    5.209    35.327
    5.845    38.348
    6.031    40.153
    6.853    41.190
    6.232    39.986
    5.308    37.805
    4.563    34.785
    4.102    30.894
    3.427    26.700
    3.198    23.898
    3.715    25.129
    4.320    27.348
    5.229    28.020
    5.950    26.947
    6.639    24.580
    6.658    23.195
    6.554    25.964
    5.825    30.680
    5.057    35.358
    4.539    39.485
    4.003    42.661
    3.328    45.484
    3.041    47.235
    2.975    48.679
    3.311    50.767
    3.420    50.822
    3.487    50.742
    0.727    49.000
    0.563    49.383
    0.423    49.746
    0.143    50.570
   -0.011    51.133
   -0.117    51.653
   -0.729    50.495
   -0.269    49.274
   -0.285    48.486
    0.687    47.201
    1.567    46.011
    2.451    44.839
    3.104    43.586
    3.311    42.073
    3.188    40.196
    3.309    38.192
    2.874    36.229
    2.940    34.906
    2.769    34.436
    2.905    34.345
    2.188    34.728
    2.410    35.206
    2.899    36.305
    3.827    37.867
    4.490    39.462
    5.410    40.433
    7.366    40.947
    7.840    39.480
    8.097    37.013
    7.615    33.096
    7.018    28.634
    5.336    23.714
    3.210     0.000
    4.661    23.623
    5.160    27.338
    5.615    28.888
    6.117    27.542
    6.767    23.721
    9.080     0.000
    6.071    25.256
    5.325    31.477
    4.648    36.726
    4.143    41.100
    3.632    44.154
    3.123    46.603
    2.761    48.316
    2.616    49.695
    2.958    51.764
    2.961    51.863
    3.170    51.388
    0.598    49.297
    0.435    49.715
    0.307    50.074
    0.167    50.496
   -0.008    51.070
   -0.194    51.739
   -0.788    50.529
   -0.314    50.167
   -0.546    48.871
   -0.287    48.054
    0.336    46.974
    0.970    45.883
    1.235    44.910
    1.541    43.694
    2.123    42.477
    2.625    40.982
    2.395    39.890
    2.862    38.965
    2.773    38.569
    2.599    38.477
    1.957    39.078
    2.127    39.474
    2.316    40.273
    3.064    40.983
    3.918    41.518
    5.071    41.334
    7.454    40.225
    8.528    38.180
    9.540    35.215
    9.693    31.214
    9.546    27.170
    7.940    23.830
    7.300    22.371
    6.532    25.363
    6.560    28.573
    6.538    30.316
    6.643    29.499
    6.853    26.924
    6.791    25.335
    6.128    28.549
    5.469    33.519
    4.857    38.258
    4.448    42.507
    3.938    45.534
    3.418    48.003
    3.046    49.676
    2.850    51.976
    3.472    53.712
    3.443    53.822
    3.605    53.410
    0.684    49.196
    0.513    49.531
    0.385    49.812
    0.272    50.176
   -0.015    50.846
   -0.197    51.290
   -0.518    50.070
   -0.104    49.634
   -0.382    48.313
   -0.282    47.864
    0.006    46.936
    0.642    45.760
    1.011    45.057
    1.727    44.504
    2.190    43.655
    2.751    42.859
    3.276    42.228
    3.220    41.854
    3.214    41.624
    2.846    41.606
    2.188    42.181
    2.163    42.575
    2.200    43.199
    2.921    43.411
    3.750    43.331
    5.088    42.218
    7.737    39.732
   10.570    37.426
   12.432    34.307
   13.309    29.863
   13.693    25.918
   12.366    23.311
   10.423    24.134
    8.476    27.685
    7.808    30.683
    7.158    32.486
    6.935    32.842
    6.670    31.938
    6.412    31.608
    5.776    33.520
    5.186    36.744
    4.583    40.435
    4.231    44.099
    3.694    46.847
    3.191    49.035
    2.824    50.461
    3.423    53.741
    3.327    54.112
    3.319    54.152
    3.435    53.842
    1.568    48.191
    1.268    48.396
    1.040    48.645
    0.513    49.531
    0.173    50.219
   -0.020    50.432
   -0.398    49.377
   -0.134    48.855
   -0.504    47.439
   -0.450    46.819
   -0.186    45.893
    0.288    45.170
    0.831    44.638
    1.688    44.280
    2.240    44.004
    3.342    43.723
    3.526    43.693
    3.474    43.709
    3.489    43.722
    3.063    43.799
    2.455    44.292
    2.202    44.736
    2.186    45.193
    2.797    45.200
    3.617    44.747
    5.026    43.026
    7.950    39.410
   11.506    36.217
   13.867    32.309
   15.301    26.708
   16.357    21.957
   15.502    20.474
   12.836    23.776
   10.315    29.089
    8.853    32.766
    7.674    35.185
    7.088    36.478
    6.444    36.664
    5.987    36.832
    5.380    38.112
    4.819    40.224
    4.258    42.876
    3.997    45.803
    3.495    48.034
    3.047    49.747
    3.041    51.809
    3.347    54.000
    3.278    54.258
    3.312    54.173
    3.428    53.863
    2.195    48.213
    1.796    48.128
    1.511    48.219
    0.842    48.875
    0.392    49.447
   -0.038    48.923
    0.160    48.333
    0.040    47.502
   -0.352    45.853
   -0.369    44.924
   -0.279    44.154
   -0.221    43.631
    0.193    43.417
    1.278    43.398
    1.820    43.692
    2.856    43.985
    3.427    44.326
    3.515    44.699
    3.524    44.970
    2.939    45.303
    2.742    45.533
    2.236    46.066
    2.169    46.413
    2.735    46.262
    3.633    45.507
    5.108    43.481
    8.188    39.667
   11.978    35.692
   14.603    31.291
   16.624    24.974
   17.190     0.000
   22.750     0.000
   14.557    23.419
   11.571    30.026
    9.408    34.858
    7.890    37.804
    6.984    39.927
    6.158    40.615
    5.545    41.053
    4.933    41.988
    4.395    43.392
    3.894    45.196
    3.827    47.207
    3.409    48.785
    3.043    50.001
    3.079    51.799
    3.458    53.742
    3.491    53.697
    3.590    53.448
    3.760    53.039
    2.749    49.397
    2.295    48.272
    2.053    48.151
    1.273    48.220
    0.827    48.311
    0.642    47.843
    0.282    46.894
    0.342    45.748
   -0.102    43.757
   -0.226    42.355
   -0.359    41.321
   -0.436    40.835
   -0.063    40.934
    0.462    41.607
    2.292    42.270
    2.628    43.418
    3.346    44.238
    3.500    44.994
    3.382    45.440
    3.052    45.960
    2.948    46.190
    2.404    46.652
    2.321    46.854
    2.670    46.780
    3.503    46.060
    4.894    45.122
    6.960    41.472
   10.705    36.116
   13.190    31.549
   15.541    26.571
   17.964    23.324
   18.168    23.067
   15.299    26.120
   12.844    31.182
   10.414    35.790
    7.894    40.053
    6.713    42.908
    5.791    43.827
    5.142    44.276
    4.558    44.911
    4.098    45.718
    3.905    47.290
    3.735    48.183
    3.404    49.228
    3.424    50.942
    3.682    53.129
    3.692    53.186
    3.768    53.021
    3.876    52.775
    4.023    52.458
    2.822    50.169
    2.495    49.368
    2.319    48.786
    1.447    48.177
    1.003    47.964
    0.937    47.005
    0.597    45.774
    0.553    43.950
    0.009    41.571
   -0.142    39.360
   -0.285    37.598
   -0.370    36.922
   -0.078    37.346
    0.341    38.895
    2.102    40.398
    2.426    42.319
    3.174    43.695
    3.460    44.995
    3.325    45.548
    3.130    46.163
    3.093    46.426
    2.539    46.848
    2.389    46.987
    2.572    47.002
    3.297    47.528
    4.375    46.249
    6.152    43.811
    9.631    38.246
   12.000    34.347
   14.379    31.001
   16.342    29.682
   16.561    29.638
   14.166    30.955
   12.139    34.489
   10.058    38.163
    7.670    41.925
    6.796    44.302
    5.905    45.239
    5.242    45.755
    4.544    46.407
    4.150    46.828
    3.756    48.392
    3.573    49.001
    3.453    49.432
    3.590    50.726
    3.992    52.490
    4.286    51.939
    4.417    51.703
    4.526    51.520
    4.773    51.141
    3.150    50.550
    2.865    50.208
    2.627    49.369
    1.717    48.858
    1.260    48.404
    1.141    46.581
    0.885    44.881
    0.760    42.691
    0.235    39.290
    0.139    35.794
   -0.146    33.063
   -0.339    31.859
   -0.158    32.989
    0.120    35.827
    1.111    38.676
    2.141    41.268
    2.812    43.213
    3.020    44.957
    3.137    46.040
    2.827    46.291
    2.802    46.637
    2.372    47.061
    2.239    47.171
    2.677    47.761
    3.163    48.224
    4.029    47.444
    5.505    45.245
    7.536    41.803
   10.090    37.959
   12.632    35.467
   14.715    35.169
   15.130    35.511
   14.095    36.264
   12.087    37.808
   10.112    40.144
    7.990    42.651
    7.034    44.923
    6.292    45.764
    5.537    46.435
    4.728    47.053
    4.248    48.132
    3.717    48.948
    3.470    49.469
    3.801    50.348
    4.294    51.885
    4.441    51.661
    4.765    51.152
    5.013    50.827
    5.144    50.676
    5.415    50.415
    2.650    50.042
    2.650    50.042
    2.470    49.217
    1.950    48.638
    1.683    47.785
    1.451    46.392
    1.220    44.328
    1.152    41.196
    0.879    37.494
    0.468    32.734
    0.185    28.039
   -0.033    25.424
    0.108    28.074
    0.072    32.844
    0.336    37.215
    1.837    40.479
    2.300    43.013
    2.537    44.895
    2.708    46.141
    2.773    46.940
    2.407    46.914
    2.101    47.336
    2.356    48.538
    2.464    48.571
    2.776    48.588
    3.503    48.035
    4.770    46.447
    6.693    44.802
    9.102    41.290
   11.422    39.707
   13.646    40.393
   14.857    42.479
   14.219    42.702
   12.354    42.208
   10.329    42.722
    8.321    43.855
    6.785    45.887
    6.211    46.560
    5.489    47.104
    5.070    47.374
    4.668    48.148
    4.229    48.590
    3.928    48.982
    5.445    48.751
    5.793    50.159
    6.219    50.025
    6.605    50.043
    7.046    50.228
    6.196    50.028
    6.505    50.025
    2.395    51.191
    2.586    51.131
    2.725    49.928
    2.455    48.706
    2.448    47.803
    2.346    46.281
    2.659    43.315
    2.500    40.354
    2.044    36.406
    1.510    31.209
    0.898    25.178
    0.400     0.000
    0.321    25.361
    0.148    31.688
    0.247    36.626
    0.996    40.577
    2.063    43.296
    2.267    45.399
    2.440    46.789
    2.559    47.646
    2.619    48.552
    2.317    48.616
    2.253    48.708
    2.237    48.784
    2.395    48.895
    3.115    50.001
    4.248    48.467
    5.605    46.547
    7.951    43.884
   10.355    43.042
   13.603    47.153
   15.063    51.387
   14.770    51.699
   13.095    48.990
   11.227    47.408
    8.415    45.674
    6.623    46.018
    6.771    47.339
    6.033    47.633
    6.025    48.207
    5.646    48.170
    5.429    48.187
    4.806    49.148
    6.744    50.083
    6.729    50.077
    7.177    50.316
    7.348    50.454
    7.850    51.013
    6.830    50.115
    7.085    50.252
    2.437    52.205
    2.835    52.336
    3.136    52.451
    4.145    54.217
    4.886    56.256
    4.834    53.463
    5.381    44.389
    5.124    41.069
    3.518    37.087
    2.206    32.648
    1.210    27.858
    0.400    25.380
    0.477    28.082
    0.461    32.982
    0.314    37.530
    0.387    41.319
    2.068    43.557
    2.178    45.653
    2.568    47.853
    2.675    48.800
    2.677    49.425
    2.376    49.127
    2.079    48.994
    2.346    50.216
    2.378    50.343
    2.721    50.152
    3.700    48.822
    5.076    47.195
    7.760    45.561
    9.935    46.411
   13.589    54.707
   15.069    60.594
   15.974    66.334
   14.442    61.021
   12.938    57.499
    9.973    50.681
    8.541    49.537
    7.583    49.108
    6.667    48.560
    6.694    48.884
    6.580    48.773
    6.766    49.136
    5.450    48.782
    7.301    50.414
    7.641    50.753
    7.827    50.982
    7.649    50.762
    8.152    51.457
    7.255    50.376
    7.077    50.247
    2.825    53.884
    2.997    52.473
    3.385    52.881
    4.759    56.659
    5.821    61.855
    5.564    59.380
    6.489    45.928
    6.198    42.703
    4.313    39.003
    2.683    35.596
    1.444    32.614
    0.520    31.621
    0.538    32.944
    0.486    36.053
    0.517    39.523
    0.386    42.488
    1.036    45.484
    2.464    46.778
    2.507    48.236
    2.553    49.161
    2.538    49.737
    2.901    51.538
    2.504    50.833
    2.238    50.453
    2.246    50.431
    2.406    50.296
    3.172    49.288
    4.809    47.479
    7.776    47.476
   10.100    50.619
   14.377    66.116
   16.011    75.303
   17.110    83.718
   15.468    74.636
   13.761    67.200
   10.363    54.737
    8.532    50.998
    7.818    50.348
    7.179    49.787
    7.068    49.322
    7.105    49.468
    7.475    49.943
    6.373    50.016
    7.997    51.219
    8.376    51.839
    8.530    52.130
    8.043    51.288
    8.623    52.314
    7.494    50.594
    7.131    50.283
    2.716    53.792
    3.144    52.639
    3.662    53.493
    5.651    61.376
    7.268    73.251
    7.068    71.082
    7.005    69.946
    6.965    45.770
    5.336    41.739
    3.150    39.302
    1.923    37.846
    0.537    37.280
    0.519    38.069
    0.555    39.498
    0.198    44.028
    0.281    46.675
   -0.246    49.137
    0.934    50.008
    2.940    49.858
    2.965    50.793
    2.893    51.480
    2.804    51.779
    2.715    52.007
    2.395    51.080
    2.445    50.965
    2.099    50.782
    2.902    49.408
    4.770    47.662
    6.970    48.169
    9.082    51.293
   13.895    70.108
   15.842    82.256
   17.250    93.498
   16.440    88.505
   14.817    78.615
   10.525    57.623
    8.510    51.888
    7.700    50.407
    7.123    49.737
    7.814    50.677
    8.206    51.238
    8.563    52.018
    7.147    50.294
    9.203    53.641
    9.574    54.649
    9.559    54.604
    8.902    52.913
    9.404    54.172
    7.835    50.992
    7.247    50.370
